species,x,y,Urban,Coniferous,Broadleaf,MountainHeathBog,Freshwater,visit,rain,wind,obs
A,454500,1204500,0,0,0,0,3,1,1,2,0
A,454500,1204500,0,0,0,0,3,3,5,1,0
A,454500,1204500,0,0,0,0,3,4,9,2,0
A,446500,1195500,0,0,0,38,0,1,1,2,1
A,446500,1195500,0,0,0,38,0,2,0,2,0
A,446500,1195500,0,0,0,38,0,3,5,3,0
A,446500,1195500,0,0,0,38,0,4,1,2,0
A,450500,1195500,0,0,0,96,1,1,1,3,0
A,450500,1195500,0,0,0,96,1,2,2,2,0
A,450500,1195500,0,0,0,96,1,3,0,3,0
A,450500,1195500,0,0,0,96,1,4,3,2,0
A,447500,1193500,0,0,0,26,0,1,9,2,0
A,447500,1193500,0,0,0,26,0,2,12,1,0
A,447500,1193500,0,0,0,26,0,3,1,1,0
A,442500,1170500,0,0,0,32,0,1,5,1,0
A,442500,1170500,0,0,0,32,0,2,1,1,0
A,442500,1170500,0,0,0,32,0,3,54,1,0
A,442500,1170500,0,0,0,32,0,4,5,1,0
A,430500,1155500,0,0,0,74,17,1,9,2,0
A,430500,1155500,0,0,0,74,17,2,2,1,0
A,430500,1155500,0,0,0,74,17,3,13,1,0
A,430500,1155500,0,0,0,74,17,4,9,1,0
A,452500,1140500,0,0,0,55,1,1,25,2,0
A,452500,1140500,0,0,0,55,1,2,0,1,0
A,452500,1140500,0,0,0,55,1,3,8,1,0
A,452500,1140500,0,0,0,55,1,4,0,1,0
A,449500,1138500,0,0,0,38,0,1,5,2,0
A,449500,1138500,0,0,0,38,0,2,3,1,0
A,449500,1138500,0,0,0,38,0,3,4,2,0
A,449500,1138500,0,0,0,38,0,4,0,2,0
A,442500,1135500,1,0,0,12,0,1,2,3,0
A,442500,1135500,1,0,0,12,0,2,19,2,0
A,442500,1135500,1,0,0,12,0,3,2,2,0
A,442500,1135500,1,0,0,12,0,4,5,1,0
A,440500,1129500,0,0,0,100,0,1,1,2,0
A,440500,1129500,0,0,0,100,0,2,3,1,0
A,440500,1129500,0,0,0,100,0,3,1,2,0
A,440500,1129500,0,0,0,100,0,4,4,1,0
A,440500,1124500,0,0,0,58,0,1,1,1,0
